Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *InnerArrayJoin native array.js:275:24
      5    0.0%    0.1%  LazyCompile: *Connection.isConnected C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:760:44
      5    0.0%    0.1%  Function: ~session.endSession C:\node\cryptodev\node_modules\mongodb\lib\utils.js:397:28
      5    0.0%    0.1%  Function: ~queryCallback C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:200:31
      5    0.0%    0.1%  Function: ~ok assert.js:69:12
      5    0.0%    0.1%  Function: ~internalConnect net.js:904:25
      5    0.0%    0.1%  Function: ~getParamCoder C:\node\cryptodev\node_modules\ethers-contracts\interface.js:483:23
      5    0.0%    0.1%  Function: ~executeOperation C:\node\cryptodev\node_modules\mongodb\lib\utils.js:365:26
      5    0.0%    0.1%  Function: ~executeFindCommand C:\node\cryptodev\node_modules\mongodb-core\lib\wireprotocol\3_2_support.js:362:34
      5    0.0%    0.1%  Function: ~comb10MulTo C:\node\cryptodev\node_modules\bn.js\lib\bn.js:1036:42
      5    0.0%    0.1%  Function: ~afterConnect net.js:1146:22
      5    0.0%    0.1%  Function: ~acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
      5    0.0%    0.1%  Function: ~Query._castConditions C:\node\cryptodev\node_modules\mongoose\lib\query.js:1267:43
      5    0.0%    0.1%  Function: ~Cursor._find C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:187:34
      5    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:748:22
      5    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
      5    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      5    0.0%    0.1%  Builtin: TypedArrayConstructByArrayLike
      5    0.0%    0.1%  Builtin: RegExpReplace
      5    0.0%    0.1%  Builtin: PromiseConstructor
      5    0.0%    0.1%  Builtin: ObjectProtoToString
      5    0.0%    0.1%  Builtin: LessThan
      5    0.0%    0.1%  Builtin: InterpreterPushArgsThenConstructFunction
      5    0.0%    0.1%  Builtin: InstanceOf
      5    0.0%    0.1%  Builtin: FastArrayShift
      5    0.0%    0.1%  Builtin: DeleteProperty
      5    0.0%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      4    0.0%    0.1%  Stub: CallApiCallbackStub {3}
      4    0.0%    0.1%  Stub: CallApiCallbackStub {2}
      4    0.0%    0.1%  StoreIC: A store IC from the snapshot {2}
      4    0.0%    0.1%  StoreIC: A store IC from the snapshot {1}
      4    0.0%    0.1%  LazyCompile: *tickOnSocket _http_client.js:614:22
      4    0.0%    0.1%  LazyCompile: *onSocket _http_client.js:657:53
      4    0.0%    0.1%  LazyCompile: *lookup dns.js:122:16
      4    0.0%    0.1%  LazyCompile: *getName https.js:147:43
      4    0.0%    0.1%  LazyCompile: *executeOperation C:\node\cryptodev\node_modules\mongodb\lib\utils.js:365:26
      4    0.0%    0.1%  LazyCompile: *applyPaths C:\node\cryptodev\node_modules\mongoose\lib\query.js:3209:50
      4    0.0%    0.1%  LazyCompile: *Query.findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1561:35
      4    0.0%    0.1%  LazyCompile: *Query C:\node\cryptodev\node_modules\mquery\lib\mquery.js:27:16
      4    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mquery\lib\utils.js:111:19
      4    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
      4    0.0%    0.1%  Function: ~setImmediate timers.js:821:22
      4    0.0%    0.1%  Function: ~removeListener events.js:355:28
