Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ~shift internal/process/next_tick.js:30:8
      1    0.0%    0.0%  Function: ~setMaxListeners events.js:82:66
      1    0.0%    0.0%  Function: ~serializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:294:31
      1    0.0%    0.0%  Function: ~serialize C:\node\cryptodev\node_modules\bson\lib\bson\bson.js:47:46
      1    0.0%    0.0%  Function: ~select C:\node\cryptodev\node_modules\mongoose\lib\query.js:826:41
      1    0.0%    0.0%  Function: ~resume_ _stream_readable.js:819:17
      1    0.0%    0.0%  Function: ~requiredPaths C:\node\cryptodev\node_modules\mongoose\lib\schema.js:640:56
      1    0.0%    0.0%  Function: ~require internal/module.js:8:19
      1    0.0%    0.0%  Function: ~removeSocket _http_agent.js:273:53
      1    0.0%    0.0%  Function: ~release C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:163:10
      1    0.0%    0.0%  Function: ~processImmediate timers.js:697:26
      1    0.0%    0.0%  Function: ~populateDescription C:\node\cryptodev\node_modules\ethers-contracts\interface.js:532:29
      1    0.0%    0.0%  Function: ~peek internal/linkedlist.js:9:14
      1    0.0%    0.0%  Function: ~pathtoRegexp C:\node\cryptodev\node_modules\path-to-regexp\index.js:28:22
      1    0.0%    0.0%  Function: ~parseCertString tls.js:233:51
      1    0.0%    0.0%  Function: ~padZeros C:\node\cryptodev\node_modules\ethers-utils\convert.js:95:18
      1    0.0%    0.0%  Function: ~onwriteStateUpdate _stream_writable.js:415:28
      1    0.0%    0.0%  Function: ~onwrite _stream_writable.js:422:17
      1    0.0%    0.0%  Function: ~oncreate _http_agent.js:228:20
      1    0.0%    0.0%  Function: ~onSocket _http_client.js:690:20
      1    0.0%    0.0%  Function: ~onClose _http_agent.js:251:19
      1    0.0%    0.0%  Function: ~nullCheck fs.js:157:19
      1    0.0%    0.0%  Function: ~normalizeStringWin32 path.js:33:30
      1    0.0%    0.0%  Function: ~nextPart fs.js:1558:31
      1    0.0%    0.0%  Function: ~nextObject C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:733:26
      1    0.0%    0.0%  Function: ~model.Query C:\node\cryptodev\node_modules\mongoose\lib\model.js:3803:25
      1    0.0%    0.0%  Function: ~model C:\node\cryptodev\node_modules\mongoose\lib\model.js:3746:27
      1    0.0%    0.0%  Function: ~modeNum fs.js:615:17
      1    0.0%    0.0%  Function: ~maybeReadMore _stream_readable.js:524:23
      1    0.0%    0.0%  Function: ~lookup dns.js:122:16
      1    0.0%    0.0%  Function: ~keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
      1    0.0%    0.0%  Function: ~iushrn C:\node\cryptodev\node_modules\bn.js\lib\bn.js:1999:41
      1    0.0%    0.0%  Function: ~isValid C:\node\cryptodev\node_modules\bson\lib\bson\objectid.js:313:36
      1    0.0%    0.0%  Function: ~isIPv4 dns.js:74:16
      1    0.0%    0.0%  Function: ~isDestroyed C:\node\cryptodev\node_modules\mongodb\lib\topologies\topology_base.js:337:14
      1    0.0%    0.0%  Function: ~isCursorKilled C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:525:30
      1    0.0%    0.0%  Function: ~isBigNumber C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:136:21
      1    0.0%    0.0%  Function: ~isBad tls.js:120:17
      1    0.0%    0.0%  Function: ~isBN C:\node\cryptodev\node_modules\bn.js\lib\bn.js:57:27
      1    0.0%    0.0%  Function: ~isArrayish C:\node\cryptodev\node_modules\ethers-utils\convert.js:20:20
      1    0.0%    0.0%  Function: ~isAllowedHttpHeader C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:129:37
      1    0.0%    0.0%  Function: ~initRead _tls_wrap.js:246:18
      1    0.0%    0.0%  Function: ~init C:\node\cryptodev\node_modules\mongoose\lib\document.js:375:14
      1    0.0%    0.0%  Function: ~imaskn C:\node\cryptodev\node_modules\bn.js\lib\bn.js:2097:41
      1    0.0%    0.0%  Function: ~hasTimedOut C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:120:14
      1    0.0%    0.0%  Function: ~getOptions fs.js:64:20
      1    0.0%    0.0%  Function: ~getName https.js:147:43
      1    0.0%    0.0%  Function: ~getName _http_agent.js:118:43
      1    0.0%    0.0%  Function: ~getHeader _http_outgoing.js:526:57
      1    0.0%    0.0%  Function: ~get C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:101:16
      1    0.0%    0.0%  Function: ~get C:\node\cryptodev\node_modules\ethers-providers\fallback-provider.js:32:22
      1    0.0%    0.0%  Function: ~func C:\node\cryptodev\node_modules\ethers-contracts\interface.js:624:40
      1    0.0%    0.0%  Function: ~fs.writeFileSync fs.js:1286:28
      1    0.0%    0.0%  Function: ~format util.js:182:16
      1    0.0%    0.0%  Function: ~forEachMimeType C:\node\cryptodev\node_modules\mime-types\index.js:158:52
      1    0.0%    0.0%  Function: ~forEachMimeType C:\node\cryptodev\node_modules\accepts\node_modules\mime-types\index.js:158:52
      1    0.0%    0.0%  Function: ~flow _stream_readable.js:843:14
      1    0.0%    0.0%  Function: ~finishMaybe _stream_writable.js:598:21
      1    0.0%    0.0%  Function: ~exports.isMongooseObject C:\node\cryptodev\node_modules\mongoose\lib\utils.js:432:36
      1    0.0%    0.0%  Function: ~exports._unrefActive timers.js:148:32
      1    0.0%    0.0%  Function: ~exports.XMLHttpRequest C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:18:34
      1    0.0%    0.0%  Function: ~endSessions C:\node\cryptodev\node_modules\mongodb\lib\topologies\topology_base.js:296:14
      1    0.0%    0.0%  Function: ~endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
      1    0.0%    0.0%  Function: ~emitMessageHandler C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:283:34
      1    0.0%    0.0%  Function: ~emitBeforeScript async_hooks.js:429:26
      1    0.0%    0.0%  Function: ~done _tls_wrap.js:347:16
      1    0.0%    0.0%  Function: ~doFlaggedDeprecation buffer.js:135:13
      1    0.0%    0.0%  Function: ~debug C:\node\cryptodev\node_modules\debug\src\debug.js:65:17
      1    0.0%    0.0%  Function: ~cursor C:\node\cryptodev\node_modules\mongodb\lib\topologies\topology_base.js:342:9
      1    0.0%    0.0%  Function: ~createImmediate timers.js:856:25
      1    0.0%    0.0%  Function: ~copyObject C:\node\cryptodev\node_modules\ethers-providers\provider.js:34:20
      1    0.0%    0.0%  Function: ~copy C:\node\cryptodev\node_modules\bn.js\lib\bn.js:309:37
      1    0.0%    0.0%  Function: ~coderTuple C:\node\cryptodev\node_modules\ethers-contracts\interface.js:417:20
      1    0.0%    0.0%  Function: ~coderNumber C:\node\cryptodev\node_modules\ethers-contracts\interface.js:104:21
      1    0.0%    0.0%  Function: ~cloneObject C:\node\cryptodev\node_modules\mongoose\lib\utils.js:238:21
      1    0.0%    0.0%  Function: ~clone C:\node\cryptodev\node_modules\mongoose\lib\utils.js:153:31
      1    0.0%    0.0%  Function: ~checkOffset buffer.js:970:21
      1    0.0%    0.0%  Function: ~checkIsHttpToken _http_common.js:282:26
      1    0.0%    0.0%  Function: ~check tls.js:102:15
      1    0.0%    0.0%  Function: ~callSocketMethod _http_client.js:682:28
      1    0.0%    0.0%  Function: ~callSiteLocation C:\node\cryptodev\node_modules\depd\index.js:249:27
      1    0.0%    0.0%  Function: ~bigNumberify C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:140:22
      1    0.0%    0.0%  Function: ~assertSize buffer.js:210:20
      1    0.0%    0.0%  Function: ~assertEncoding internal/fs.js:19:24
      1    0.0%    0.0%  Function: ~arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
      1    0.0%    0.0%  Function: ~arrayClone events.js:509:20
      1    0.0%    0.0%  Function: ~alloc internal/freelist.js:11:8
      1    0.0%    0.0%  Function: ~adjustOffset buffer.js:945:22
      1    0.0%    0.0%  Function: ~addSlice C:\node\cryptodev\node_modules\ethers-utils\convert.js:9:18
      1    0.0%    0.0%  Function: ~addChunk _stream_readable.js:261:18
      1    0.0%    0.0%  Function: ~_verify2 C:\node\cryptodev\node_modules\bn.js\lib\bn.js:3140:46
      1    0.0%    0.0%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      1    0.0%    0.0%  Function: ~_send _http_outgoing.js:216:49
      1    0.0%    0.0%  Function: ~_initNumber C:\node\cryptodev\node_modules\bn.js\lib\bn.js:113:51
      1    0.0%    0.0%  Function: ~_implicitHeader _http_client.js:290:67
      1    0.0%    0.0%  Function: ~_finish _http_client.js:283:51
      1    0.0%    0.0%  Function: ~_execute C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1376:18
      1    0.0%    0.0%  Function: ~_evictSession https.js:211:55
      1    0.0%    0.0%  Function: ~_cacheSession https.js:189:55
      1    0.0%    0.0%  Function: ~_addListener events.js:233:22
      1    0.0%    0.0%  Function: ~Writable.cork _stream_writable.js:296:35
      1    0.0%    0.0%  Function: ~WireProtocol.command C:\node\cryptodev\node_modules\mongodb-core\lib\wireprotocol\3_2_support.js:280:42
      1    0.0%    0.0%  Function: ~Uint8ArrayConstructByIterable.W.(anonymous function) native typedarray.js:137:14
      1    0.0%    0.0%  Function: ~TickObject internal/process/next_tick.js:234:16
      1    0.0%    0.0%  Function: ~TLSSocket._finishInit _tls_wrap.js:614:43
      1    0.0%    0.0%  Function: ~SpeciesConstructor native typedarray.js:54:28
      1    0.0%    0.0%  Function: ~SchemaType._applySetters C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:663:46
      1    0.0%    0.0%  Function: ~Readable.read _stream_readable.js:365:35
      1    0.0%    0.0%  Function: ~Readable.on _stream_readable.js:771:33
      1    0.0%    0.0%  Function: ~Readable _stream_readable.js:140:18
      1    0.0%    0.0%  Function: ~ReadPreference.slaveOk C:\node\cryptodev\node_modules\mongodb-core\lib\topologies\read_preference.js:115:44
      1    0.0%    0.0%  Function: ~Query.toBin C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:89:33
      1    0.0%    0.0%  Function: ~Query.findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1561:35
      1    0.0%    0.0%  Function: ~Query.canMerge C:\node\cryptodev\node_modules\mquery\lib\mquery.js:3012:27
      1    0.0%    0.0%  Function: ~Query._findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1484:36
      1    0.0%    0.0%  Function: ~Query C:\node\cryptodev\node_modules\mongoose\lib\query.js:45:15
      1    0.0%    0.0%  Function: ~Pool.isConnected C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:650:38
      1    0.0%    0.0%  Function: ~ObjectId.cast C:\node\cryptodev\node_modules\mongoose\lib\schema\objectid.js:90:35
      1    0.0%    0.0%  Function: ~ObjectID C:\node\cryptodev\node_modules\bson\lib\bson\objectid.js:28:33
      1    0.0%    0.0%  Function: ~NativeModule.nonInternalExists bootstrap_node.js:561:46
      1    0.0%    0.0%  Function: ~NativeModule.isInternal bootstrap_node.js:565:39
      1    0.0%    0.0%  Function: ~NativeModule.getCached bootstrap_node.js:546:36
      1    0.0%    0.0%  Function: ~Module._findPath module.js:174:28
      1    0.0%    0.0%  Function: ~Module._extensions..js module.js:644:37
      1    0.0%    0.0%  Function: ~Module._compile module.js:592:37
      1    0.0%    0.0%  Function: ~Module module.js:66:16
      1    0.0%    0.0%  Function: ~Model C:\node\cryptodev\node_modules\mongoose\lib\model.js:53:15
      1    0.0%    0.0%  Function: ~Long.toNumber C:\node\cryptodev\node_modules\bson\lib\bson\long.js:76:35
      1    0.0%    0.0%  Function: ~Long.subtract C:\node\cryptodev\node_modules\bson\lib\bson\long.js:380:35
      1    0.0%    0.0%  Function: ~Long.not C:\node\cryptodev\node_modules\bson\lib\bson\long.js:559:30
      1    0.0%    0.0%  Function: ~Long.isZero C:\node\cryptodev\node_modules\bson\lib\bson\long.js:205:33
      1    0.0%    0.0%  Function: ~Long.greaterThanOrEqual C:\node\cryptodev\node_modules\bson\lib\bson\long.js:291:45
      1    0.0%    0.0%  Function: ~Logger.isDebug C:\node\cryptodev\node_modules\mongodb-core\lib\connection\logger.js:181:39
      1    0.0%    0.0%  Function: ~Kareem.execPost C:\node\cryptodev\node_modules\kareem\index.js:119:37
      1    0.0%    0.0%  Function: ~InnerArraySort native array.js:530:24
      1    0.0%    0.0%  Function: ~InnerArrayJoin native array.js:275:24
      1    0.0%    0.0%  Function: ~GetHash native collection.js:85:17
      1    0.0%    0.0%  Function: ~FastBuffer buffer.js:37:14
      1    0.0%    0.0%  Function: ~EventEmitter events.js:27:22
      1    0.0%    0.0%  Function: ~Duplex _stream_duplex.js:44:16
      1    0.0%    0.0%  Function: ~Document.populated C:\node\cryptodev\node_modules\mongoose\lib\document.js:2555:40
      1    0.0%    0.0%  Function: ~Document.$__init C:\node\cryptodev\node_modules\mongoose\lib\document.js:337:38
      1    0.0%    0.0%  Function: ~Document.$__buildDoc C:\node\cryptodev\node_modules\mongoose\lib\document.js:178:42
      1    0.0%    0.0%  Function: ~DoJoin native array.js:95:16
      1    0.0%    0.0%  Function: ~Define.classMethod C:\node\cryptodev\node_modules\mongodb\lib\metadata.js:12:40
      1    0.0%    0.0%  Function: ~Cursor.next C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:241:33
      1    0.0%    0.0%  Function: ~Cursor.next C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:790:33
      1    0.0%    0.0%  Function: ~Cursor.isDead C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:372:35
      1    0.0%    0.0%  Function: ~Collection.addQueue C:\node\cryptodev\node_modules\mongoose\lib\collection.js:113:41
      1    0.0%    0.0%  Function: ~ClientSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:13:14
      1    0.0%    0.0%  Function: ~CallDescription C:\node\cryptodev\node_modules\ethers-contracts\interface.js:539:25
      1    0.0%    0.0%  Function: ~Buffer.toString buffer.js:607:37
      1    0.0%    0.0%  Function: ~Buffer.readInt32LE buffer.js:1122:40
      1    0.0%    0.0%  Function: ~Buffer.alloc buffer.js:232:24
      1    0.0%    0.0%  Function: ~Agent _http_agent.js:43:15
      1    0.0%    0.0%  Function: ~<anonymous> _tls_wrap.js:1091:31
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mquery\lib\utils.js:118:18
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongoose\lib\query.js:1500:46
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:540:41
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:22:37
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:34:21
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:129:60
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:718:58
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:545:53
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\fallback-provider.js:42:32
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:829:57
      1    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:288:27
      1    0.0%    0.0%  Function: ~$getMaxListeners events.js:89:26
      1    0.0%    0.0%  Builtin: Typeof
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
      1    0.0%    0.0%  Builtin: TypedArrayInitializeWithBuffer
      1    0.0%    0.0%  Builtin: TypedArrayConstructByLength
      1    0.0%    0.0%  Builtin: StringPrototypeToString
      1    0.0%    0.0%  Builtin: StringPrototypeStartsWith
      1    0.0%    0.0%  Builtin: RegExpExecAtom
      1    0.0%    0.0%  Builtin: PromiseRejectClosure
      1    0.0%    0.0%  Builtin: ObjectAssign
      1    0.0%    0.0%  Builtin: NumberConstructor
      1    0.0%    0.0%  Builtin: JsonStringify
      1    0.0%    0.0%  Builtin: JSEntryTrampoline
      1    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      1    0.0%    0.0%  Builtin: DateNow
      1    0.0%    0.0%  Builtin: ConstructFunction
      1    0.0%    0.0%  Builtin: AsyncFunctionAwaitResolveClosure
      1    0.0%    0.0%  Builtin: AsyncFunctionAwaitCaught
      1    0.0%    0.0%  Builtin: ArrayReduce
      1    0.0%    0.0%  Builtin: ArrayMap
      1    0.0%    0.0%  Builtin: ArrayIsArray

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   6824   23.3%   92.0%  JavaScript
      0    0.0%    0.0%  C++
   4691   16.0%   63.3%  GC
  21927   74.7%          Shared libraries
    591    2.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  18585   63.3%  C:\Program Files (x86)\nodejs\node.exe
   9806   52.8%    C:\Program Files (x86)\nodejs\node.exe
   1412   14.4%      LazyCompile: *SecureContext _tls_common.js:34:23
   1412  100.0%        Function: ~createSecureContext _tls_common.js:57:59
   1412  100.0%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
   1412  100.0%            LazyCompile: *createConnection https.js:82:26
    868    8.9%      Function: ~createSecureContext _tls_common.js:57:59
    841   96.9%        LazyCompile: *exports.connect _tls_wrap.js:1018:27
    775   92.2%          LazyCompile: *createConnection https.js:82:26
    775  100.0%            LazyCompile: *addRequest _http_agent.js:140:49
     66    7.8%          Function: ~createConnection https.js:82:26
     51   77.3%            LazyCompile: *addRequest _http_agent.js:140:49
     15   22.7%            Function: ~createSocket _http_agent.js:203:53
     27    3.1%        Function: ~exports.connect _tls_wrap.js:1018:27
     27  100.0%          Function: ~createConnection https.js:82:26
     27  100.0%            Function: ~createSocket _http_agent.js:203:53
    814    8.3%      LazyCompile: *internalConnect net.js:904:25
    494   60.7%        LazyCompile: *emitLookup net.js:1087:44
    480   97.2%          LazyCompile: *onlookup dns.js:90:18
     14    2.8%          Function: ~onlookup dns.js:90:18
    320   39.3%        Function: ~emitLookup net.js:1087:44
    190   59.4%          LazyCompile: *onlookup dns.js:90:18
    130   40.6%          Function: ~onlookup dns.js:90:18
    604    6.2%      Function: ~SecureContext _tls_common.js:34:23
    604  100.0%        Function: ~createSecureContext _tls_common.js:57:59
    594   98.3%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
    474   79.8%            LazyCompile: *createConnection https.js:82:26
    120   20.2%            Function: ~createConnection https.js:82:26
     10    1.7%          Function: ~exports.connect _tls_wrap.js:1018:27
     10  100.0%            Function: ~createConnection https.js:82:26
    263    2.7%      Function: ~methodProxy _tls_wrap.js:328:30
    263  100.0%        Function: ~internalConnect net.js:904:25
    263  100.0%          Function: ~emitLookup net.js:1087:44
    263  100.0%            Function: ~onlookup dns.js:90:18
    251    2.6%      Function: ~createWriteReq net.js:789:24
    168   66.9%        LazyCompile: *Socket._writeGeneric net.js:708:42
    163   97.0%          LazyCompile: *Connection.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:704:38
    163  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
      5    3.0%          Function: ~Socket._write net.js:785:35
      5  100.0%            Function: ~doWrite _stream_writable.js:379:17
     83   33.1%        Function: ~Socket._writeGeneric net.js:708:42
     82   98.8%          Function: ~Socket._write net.js:785:35
     82  100.0%            Function: ~doWrite _stream_writable.js:379:17
      1    1.2%          LazyCompile: *doWrite _stream_writable.js:379:17
      1  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
    230    2.3%      Builtin: NumberParseInt
    125   54.3%        LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
    125  100.0%          Function: ~getAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:77:20
     94   75.2%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
     14   11.2%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
     11    8.8%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      6    4.8%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:56:21
     78   33.9%        LazyCompile: *arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
     29   37.2%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
     29  100.0%            Builtin: PromiseHandle
     27   34.6%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
     27  100.0%            Builtin: ArrayForEach
     15   19.2%          Builtin: ArrayForEach
     15  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
      3    3.8%          LazyCompile: *encode C:\node\cryptodev\node_modules\ethers-contracts\interface.js:110:25
      3  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:283:28
      3    3.8%          Function: ~encode C:\node\cryptodev\node_modules\ethers-contracts\interface.js:110:25
      2   66.7%            Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:283:28
      1   33.3%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:283:28
      1    1.3%          LazyCompile: *Promise.all.tokenIds.map C:\node\cryptodev\contract-parser.js:183:36
      1  100.0%            Builtin: ArrayForEach
     10    4.3%        LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
     10  100.0%          Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
     10  100.0%            Builtin: ArrayForEach
      7    3.0%        LazyCompile: *getParamCoder C:\node\cryptodev\node_modules\ethers-contracts\interface.js:483:23
      7  100.0%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:819:27
      7  100.0%            Builtin: ArrayForEach
      7    3.0%        LazyCompile: *Readable.read _stream_readable.js:365:35
      3   42.9%          LazyCompile: *resume_ _stream_readable.js:819:17
      3  100.0%            LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
      2   28.6%          Function: ~socketErrorListener _http_client.js:381:29
      2  100.0%            LazyCompile: *emitOne events.js:114:17
      1   14.3%          LazyCompile: *flow _stream_readable.js:843:14
      1  100.0%            Function: ~resume_ _stream_readable.js:819:17
      1   14.3%          Function: ~socketCloseListener _http_client.js:337:29
      1  100.0%            LazyCompile: *emitOne events.js:114:17
    223    2.3%      LazyCompile: *deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
    199   89.2%        LazyCompile: *deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
    122   61.3%          LazyCompile: *deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
    119   97.5%            LazyCompile: *deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
      3    2.5%            LazyCompile: *Response.parse C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:436:36
     73   36.7%          LazyCompile: *Response.parse C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:436:36
     55   75.3%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
     18   24.7%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
      4    2.0%          Function: ~deserialize C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:19:27
      4  100.0%            Function: ~BSON.deserialize C:\node\cryptodev\node_modules\bson\lib\bson\bson.js:114:38
     22    9.9%        LazyCompile: *Response.parse C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:436:36
     19   86.4%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
     19  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:452:18
      3   13.6%          Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
      3  100.0%            LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:452:18
    206    2.1%      LazyCompile: *endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
    206  100.0%        Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
    167   81.1%          LazyCompile: *handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
    167  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     21   10.2%          Function: ~handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
     21  100.0%            Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     18    8.7%          LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
     18  100.0%            Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
    187    1.9%      LazyCompile: *TLSSocket._wrapHandle _tls_wrap.js:370:43
    187  100.0%        LazyCompile: *TLSSocket _tls_wrap.js:265:19
    187  100.0%          LazyCompile: *exports.connect _tls_wrap.js:1018:27
    186   99.5%            LazyCompile: *createConnection https.js:82:26
    154    1.6%      Function: ~createScript vm.js:79:22
    154  100.0%        Function: ~runInThisContext vm.js:138:26
    154  100.0%          Function: ~Module._compile module.js:592:37
    154  100.0%            Function: ~Module._extensions..js module.js:644:37
    153    1.6%      LazyCompile: *methodProxy _tls_wrap.js:328:30
    148   96.7%        Function: ~internalConnect net.js:904:25
    147   99.3%          Function: ~emitLookup net.js:1087:44
    147  100.0%            Function: ~onlookup dns.js:90:18
      5    3.3%        Function: ~Socket._getsockname net.js:675:41
      5  100.0%          Function: ~internalConnect net.js:904:25
      4   80.0%            Function: ~emitLookup net.js:1087:44
      1   20.0%            LazyCompile: *emitLookup net.js:1087:44
    144    1.5%      Builtin: TypedArrayConstructByArrayLike
    142   98.6%        LazyCompile: *Uint8ArrayConstructByIterable native typedarray.js:127:39
    142  100.0%          LazyCompile: *Uint8Array native typedarray.js:158:31
     86   60.6%            LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
     43   30.3%            LazyCompile: *keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
     12    8.5%            LazyCompile: *arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
      2    1.4%        LazyCompile: *Uint8ArrayConstructByTypedArray native typedarray.js:144:41
      2  100.0%          LazyCompile: *Uint8Array native typedarray.js:158:31
      2  100.0%            LazyCompile: *arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
